cellline	Cellcount	location[column]	location[plate]	location[row]	SeedingNumber	Untrt	location[well]	drug	drug[HMSLid]	durg[conc]=uM	readout[time]=h	pert_type	Date
BT20	2781	2	0	3	5000	1	C02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2733	2	0	4	5000	1	D02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1210	2	0	5	2500	1	E02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1322	2	0	6	2500	1	F02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	542	2	0	7	1250	1	G02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	619	2	0	8	1250	1	H02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	295	2	0	9	625	1	I02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	287	2	0	10	625	1	J02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	122	2	0	11	312.5	1	K02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	149	2	0	12	312.5	1	L02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	73	2	0	13	156.25	1	M02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	68	2	0	14	156.25	1	N02	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2651	3	0	3	5000	1	C03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	2593	3	0	4	5000	1	D03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1260	3	0	5	2500	1	E03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	1323	3	0	6	2500	1	F03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	514	3	0	7	1250	1	G03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	610	3	0	8	1250	1	H03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	260	3	0	9	625	1	I03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	282	3	0	10	625	1	J03	-	-	0	0	ctl_vehicle	20140523_Bati
BT20	128	3	0	11	312.5	1	K03	-	-	0	0	ctl_vehicle	20140523_Bati
